ko,zh-cn
"세팅, 조합, 컨셉, 테마",流派
셀레스티얼 (Celestial),天境之人(Celestial)
셀린,西尔林
셋 업 : 맹격,装载 : 猛击
셋 업 : 불꽃놀이,装载 : 烟花漫天
셋 업 : 섬공,装载 : 闪弓
셋 업 : 신무병장 요수광란,神雾兵仗·妖旋风
셔츠,体恤衫
셰르파,塞尔帕
셰이커 블래스트,回旋十字刃
셰이크 다운,暗掠
소리의 향연,悦耳音律
소울 트레이싱 디바이스,灵魂追踪器
소울드레인,幻影摄取
소켓,栏位
속전속결,速战速决
속죄의 제단,赎罪祭坛
손 풀기,热场调音
손끝 잇는 자들,指尖触碰者
손에 닿은 기억,触手可及之记忆
솔리다리스,索利达里斯
"솔플, 솔로 플레이",单刷
쇼맨십,表演技巧
수다스런 코메테스,多言的可米迪斯
수면의 히프나,沉睡的哈布娜
수상 마을,水上小镇
수원,水原
수평선 위 균형,地平线上的均衡
수호 : 혼,守护 : 魂
수호자의 기록,守护者的记录
숙제,肝
순교자의 예배당,逝者的礼堂
순례자를 억압하는 시련,巡礼者的试炼
순례자를 얽매는 고난,巡礼者的困局
순례자를 짓누르는 무게,巡礼者的重担
순례자의 길을 비추는 빛,巡礼者的前路之光亮
순례자의 나무 요대,巡礼者的木腰带
순례자의 나아가는 의지,巡礼者的前进之意志
순례자의 미래를 보는 시선,巡礼者的预言之视线
순례자의 사막 부츠,巡礼者的沙漠靴
순례자의 어깨 보호대,巡礼者的护肩带
순례자의 카고 바지,巡礼者的工装裤
순례자의 해진 바람 막이,巡礼者的旧风衣
순백의 기운,纯白之息
순수한 오행의 흐름,纯粹的五行源流
순환의 나선,循环的螺旋
숨을 탐하는 자,野息狂放
숨죽인 슬픔,屏息中的悲伤
숭고한 구원자의 길 세트,崇高拯救者之路 套装
숲속의 마녀 귀걸이,森林之魔女耳环
숲속의 마녀 망토,森林之魔女斗篷
숲속의 마녀 목걸이,森林之魔女项链
숲속의 마녀 바구니,森林之魔女篮子
숲속의 마녀 반지,森林之魔女戒指
숲속의 마녀 벨트,森林之魔女腰带
숲속의 마녀 상의,森林之魔女上衣
숲속의 마녀 신발,森林之魔女长靴
숲속의 마녀 정령석,森林之魔女精灵石
숲속의 마녀 팔찌,森林之魔女手镯
숲속의 마녀 하의,森林之魔女护腿
숲의 전언자 카밀라,森之密语者卡米拉
쉬카리,猩红狩猎
쉴드데몬,盾魔
슈퍼 체이서,超级炫纹
슈퍼 체이서 강화,强化 - 超级炫纹
슈페리어 : 매직 서클로,卓越 : 魔力之环
슈페리어 : 오리진 오브 더 마이어,卓越 : 玛尔本源
슈페리어 : 코스믹 이어링,卓越 : 宇宙耳环
스위티 테히티,糖果泰希缇
스윙 스캣,摇曳之声
스카이로드,空中航线
스커드 제노사이드,疯狂射击
스크램블 앵커,登跃飞锚
스크리본,斯克里本
스킬 펄 익스텐션,技能延展
스테빌라이저,稳定装置
스테이지,关卡
스테인라이트 공방,琉璃工坊
스텔라 메테오리아,耀眼的陨星
스톰 브레이크,风暴激破
스페셜 오프닝,巨星登场
스펙,能力值
스펙업,成长
스펙업 미션,成长任务
스펙터클 스콜,壮丽狂风
스피닝 스플래시,旋风冲击
스피리티아,莉缇娅舞台
스핏파이어 플로,弹药专家弗洛
시간의 끝,时间尽头
시라누이 인법첩,不知火舞忍法帖
시선 닿는 자들,目光所至者
시인,矢人
시작의 샘,起始之泉
시즌 그리팅,季节问候
신관 아우렌,神官奥伦
신녀,龙女
신도,追随者
신뢰의 황금 복대,信誓之黄金护腰
신무변조,神雾改装
신무병장,神雾兵仗
신무병장 유성,神雾兵仗·流星
신무병장 폴라리스,神雾兵仗·北极星
신무성장 사지타리우스,神雾星仗·人马座星云
신비한 별,神秘之星
신비한 의 마법서,装备之力魔法书
신비한 재봉틀,奇迹缝纫机
신성한 빛의 힘으로 적을 섬멸하고\n아군을 지원하는 프리스트,用光之力量消灭敌人并支援队友的光职者。
신세이어,判罪者
신속의 알테어,神速之阿尔瑟
신수,神兽
신수의 기운,神兽之息
신수의 스페셜 선물 상점,神兽的特别礼物商店
신연,神烟
신의 가호를 받아\n강력한 신성력을 가지게 된 프리스트,拥有强大的光之力量的光职者。
실전형 위상변화,实战型替身草人
심연의 결집 : 무정형의 힘,深渊结集 : 未定之力
심연의 결집 : 무한한 수축,深渊结集 : 无限坍缩
심연의 결집 : 정의되지 않는 존재,深渊结集 : 无法定义之存在
심연이 삼킨 하늘성 꼭대기,沉入深渊的天空之城顶部
심플 헌팅,效能猎捕
십자가,光杖
십자검,啸空十字刃
쌍현섬,双弦闪
火 :,焰 :
썩어가는 토아타모,腐朽之陀塔莫
썬더위치,雷霆女巫
아가토,阿加托
아네시,亚内希
아드레날린 랩소디,燃情狂想曲
아득한 각인,遥远之刻痕
아들 고블린,哥布林弟弟
아름,美轮之韵
아샤,阿夏
아스라한 : 무의 장막,雾隐之地 : 雾之幕
"아스라한 : 안개의 신, 무",雾隐之地 : 雾神攻坚战
아스라한 기록실,雾隐之地记录室
아스라한 서고,雾隐之地书库
"아스라한: 만들어진 신, 나벨",雾隐之地 : 人造神纳波尔
아우구스터→ 사막의 비밀상인,欧格斯
아이보리 센텐스,兽牙裁决
아이시,艾希
아이템,道具
아처,弓箭手
아쳐,弓箭手
아케이드,街机
아케이드 : 요기 정화,街机 : 净化妖气
아쿠아 릴리,水百合
아크로바틱 레이드,绝技袭击
아포,太阳
아홉 꼬리 블로나,九尾布洛娜
악동 스완,恶童斯万
악몽의 서,解读噩梦之书
악몽회랑,噩梦回廊
악을 섬멸하기 위해\n악마의 힘을 받아들인 프리스트,为了惩戒恶魔， 甘愿接受恶魔之力的光职者。
악의 군주 바라로드,邪恶君主巴拉罗德
악의 재림,邪魔再临
안개 : 기약없는 기다림,迷雾 : 无尽的等待
안개 : 꿈결의 무의식,迷雾 : 迷梦的无意识
안개 : 모호한 경계,迷雾 : 朦胧的边界
안개 : 무지의 영역,迷雾 : 未知的领域
안개 : 불확실성의 두려움,迷雾 : 缥缈的恐惧
안개 고원,迷雾高原
안개 신전,雾神殿
안개 폭포,迷雾瀑布
안개 표창,迷雾飞镖
안개가 어둠에 물들지 않기를.,愿迷雾不会染上黑暗
안개누빔 산맥,雾织山脉
안개를 머금은 요무무,蕴含雾气的妖沐沐
안개무리,迷雾箭雨
안개신 개전,雾神尼
안개에 발자국을 새긴 자,铭刻足迹于迷雾中者
안개의 도시 청연,雾都晴烟
안개의 빛무리,雾光宝藏
안개의 사제 클라디스,雾之典司克拉迪斯
안개의 신,雾神
"안개의 신, 무",雾神
안개의 장막을 드리우다,雾帐遮天
안개폭우,浓雾暴雨
안내,指示
안티엔바이 《AntiEnbi》,天之印
알데라민 이리네 폰 릴리오,阿德拉敏·伊列娜·冯·莉莉欧
알프라이라 산 어딘가,阿法利亚山某地
암살,瞬袭
암살 목표,追踪目标
암살기술,潜行教义
암살자의 마음가짐,潜行信条
암흑의 블랙스타,暗黑之星布莱斯塔
애드립,即兴表演
애쥬어 메인,蔚蓝号
액티브 이퀄라이저,激活均衡器
앨런,亚伦
약속,誓约
"약속의 도시, 이내",誓约之都雾岚
어둑섬을 향해,前往幽暗岛
어둠의 손톱,毁灭之爪
어둠의 탐구자,黑暗探索者
어밴던,赤狱之力
어벤저,惩戒者
어비스의 근원(The Root of Abyss),黑暗之眼根源
어위고랫강,辽鲸江
어위키급,浩瀚级
어태치먼트 : 미스트 기어,附件 : 迷雾装置
언더풋 뒷골목,暗黑城后巷
얼녹,灼烧冰冻
얼어붙은 저항의,冰封之御
얼어붙은 저항의 무기,冰封之御武器
얼음 송곳니,冰霜利齿
에너제틱 비트,活力节奏
에단,伊旦
에디,艾迪
에르곤,埃尔贡
에반젤리스트,光明歌颂者
에어 버스트-7,光芒圣痕 : 空中爆炸
에오 신시니아,伊奥·辛西尼亚
에우치,耶欧奇
에이,阿伊
에이븐 헌팅,凌空之狩
에컨,艾肯
에클레어,埃克莱尔
에테리얼 보우,妖影弓
에피소드 오브 하모니,和茉霓之歌
엑스트라 옵션,额外插件
엔사이트 헨지,电磁图腾
엔트 정령의 귀걸이,恩特精灵耳环
엔트 정령의 목걸이,恩特精灵项链
엔트 정령의 반지,恩特精灵戒指
엔트 정령의 벨트,恩特精灵腰带
엔트 정령의 상의,恩特精灵胸甲
엔트 정령의 성배,恩特精灵圣杯
엔트 정령의 신발,恩特精灵战靴
엔트 정령의 심장,恩特精灵之心
엔트 정령의 어깨,恩特精灵护肩
엔트 정령의 팔찌,恩特精灵手镯
엔트 정령의 하의,恩特精灵护腿
여름,夏日
여행자의 가죽 갑옷 마스터리,旅人皮甲精通
여행자의 직감,旅人的直觉
여행중인 보노즈,旅行中的波诺兹
역린의 흔적,逆鳞之痕
역성문,逆星文
역죄단멸,逆炎灭罪
역행하는 기억의 성단,紊乱之星团
연련검:음양,心炼剑 : 阴阳
연합 사령관 이리네,联合军司令伊列娜
연합의 지휘자 망토,联盟指挥者披风
열화 : 끝없는 타오름,烈火 : 不熄焚焰
열화 : 내디딘 마지막 발걸음,烈火 : 最终一步
열화 : 밀려오는 불길,烈火 : 炽烟弥天
열화 : 엉겨붙은 의지,烈火 : 缠结意志
열화 : 흔들린 불꽃의 이성,烈火 : 沉静火光
"염주와 부적, 그리고 신룡의 힘으로\n마물을 퇴치하는 프리스트",用念珠、 符咒及神龙的力量击退敌人的光职者。
영광의 재림,再临的荣光
영롱한 엠블렘,玲珑徽章
영원의 조각 - 귀걸이,永恒的碎片 - 耳环
영원의 조각 - 보조장비,永恒的碎片 - 辅助装备
영혼의 구속 : 거스를 수 없는 봉인,灵魂拘束 : 绝对封印
영혼의 구속 : 무거운 업보,灵魂拘束 : 沉重罪魇
영혼의 구속 : 지배하는 권능,灵魂拘束 : 支配权能
예거,耶格
"예술가, 센드만",艺术家桑德曼
오늘의 주인공,主角登场
오래된 절,古庙
오메가 디스트럽션,欧米伽激光
오브젝트,特效
오염된 눈의 별,秽染之雪星辰
오의 발현 - 금,奥义 - 金
오의 발현 - 목,奥义 - 木
오의 발현 - 부조화,奥义 - 失衡
오의 발현 - 수,奥义 - 水
오의 발현 - 토,奥义 - 土
오의 발현 - 화,奥义 - 火
오토매틱 무브먼트,自动操作模式
오파츠,欧帕兹
오행의 기운,五行之息
오행의 흐름,五行源流
온 더 스테이지,梦想的舞台
올바른 정신,正确神识
옵션,属性
옵션 성장,属性成长
와일드 파이어,旷野火炎
와일리 트릭,诡道奇袭
왕래용 다리,通行桥
요격대,妖击队
요기,妖气
요기력,妖气之力
요기로 가득 찬 섬,充满妖气的岛屿
요기에 물든 안개의 결정,浸染妖气的迷雾结晶
요룡 님파,妖龙宁帕
요륜참,妖轮斩
요마왕,妖魔王
요마왕 마키아,妖魔王摩奇亚
요마인,妖魔人
요수의 천 갑옷 마스터리,妖护使布甲专精
요인 암살,毁灭绝击
요정의 항아리,精灵袖珍罐
요화맹진,妖火猛禽
용맹의 아리아,勇气颂歌
용사,勇士
용의 겁화,龙之业火
용의 우익랑,龙之右翼廊
용의 정원,龙之庭院
용의 좌익랑,龙之左翼廊
우레 : 곤두서는 감각,雷鸣 : 惊惧之宴
우레 : 구름을 향한 발돋움,雷鸣 : 黑云压城
우레 : 대지를 뒤덮는 암운,雷鸣 : 暗云翻涌
우레 : 뒤따르는 고동,雷鸣 : 痛如影随
우레 : 하늘에 새겨진 흉터,雷鸣 : 裂天残痕
우무,乌穆
"우무 공, 이쪽이오!",乌穆贤家，这边!
운궁,云弓
운명 강화,强化 : 命运
운명 조작,操纵命运
운명의 카드,命运卡牌
운명이 이끄는 방향,命运的领航标
운반 조합,运输协会
워 바이콘,战伐双角兽
워닝 샷건,霰弹之箭
워바이콘,战伐双角兽
원귀 : 연참,幻鬼 : 连击
원더,旺德
원죄의 힘으로 악을 유혹하여 처단하는 프리스트,拯救苦难， 粉碎罪恶的光职者。
월드 아이돌 링,世界偶像戒指
웨스턴 파이어,溃灭回射
웨스피스 격전지,莫斯匹斯激战地
웨스피스 전선,莫斯匹斯战线
웹 드롭,困兽之网
윈드 프로텍터,暴风护盾
유랑,流浪协会
유랑하는 별의 문장,流浪之星的纹章
유명세,名人气场
유별급,流星级
유저,玩家
유틸리티,功能性
융합 분리,融合分离
은자 에르곤,隐者埃尔贡
은자림,隐者之林
은자의 별,隐者之星
은하수의 빗방울,银河的雨滴
음산한 뒷골목,阴森的后巷
음성、보이스,配音
음의 기운,阴邪气息
응축된 미스트 코어,浓缩雾核
의문의 편지,可疑的信件
의욕폭발,干劲爆棚
이단심판관,正义审判者
이단을 지명하는 검지,辨明异徒的食指
이름 없는 부유섬,无名空岛
이름 없는 수문장,无名守门将
이름없는 석상,无名石像
이면경계,异面边界
이모탈,不朽战士
이벤트,活动
이스트레인지먼트,惩罚之锤
이슬을 감춘 자(The Man Who Hides Dew),隐藏露滴者
이어진 불꽃의 의지,不灭之火花意志
이펙터 온 : 그루브,乐力全开 : 律
이펙터 온 : 파워,乐力全开 : 力
이펙트,特效
익사이팅,斗志昂扬
익스큐서너 슬래쉬,暴君湮灭斩
익시드,超世界
인공신,人造神
인공신 레이드,人造神攻坚战
인귀 더글러스,化鬼铎格拉斯
인덱스,index
인벤토리,物品栏
인비시블 스톤,隐形石
인요합의,妖人合一
인파이터,蓝拳使者
인페르노,炎狱守卫者
인형의 숲 무대,人偶之森舞台
일렉트릭 플레임,电焰
일반 / 개방  / 완전 개방,普通  / 蜕变  / 完全蜕变
일반 던전,白图
"일반 던전, 일던",普通地下城
"일반, 하드 모드",普通、困难
임시 주둔지,临时营地
"입장컷, 입컷,",门槛
잊혀진 기록,忘却之记载
자미르,扎米尔
자연의 기운,自然之息
자유를 향한 연구 세트,流向自由之魔力 套装
"작가, 헤르니안",作家海勒尼安
잔존,留存
잘못 끼워진 다리,错乱之足
잠들지 못하는 죄악의 지옥,永不安息的罪恶地狱
장궁 숙련,玄机弓精通
장렬한 전투의 기억,征战之忆
장비 융합,装备融合
장착,穿戴
재생의 아리아,新生颂歌
저버린 신의,背信弃义
저주인형,箴言人偶
저항을 담은 철,坚韧之铁
적의 방어력과 상관없이 총 피해 증가 수치의 10%%만큼 피해를 줌,无视敌人防御力并造成相当于总攻击强化数值10%%的伤害
전격의 스테이츠,雷霆斯特兹
전격의 타우세르,雷鸣牛头魔兽
전략가의 정교한 전투 바지,战略家的量身战裤
전생의 여신 오로라,转生女神欧若拉
전장의 주방장,战场厨师长
전투 리포팅,战斗报告
절개,气节
점검,维护
정제된 마력,精制魔力
정제된 미스트 기어,大百变
제 7의 귀신 : 광폭의 블라슈,第7鬼神 : 怖拉修
제국 실험실 유격전,帝国实验室之战
제국 실험실의 기록일지 이벤트,帝国实验室日志活动
제노사이더,毁灭之魂
제노사이드 크러쉬,碎灵之击
제압자,统治者
제트스트림,急流
조리나무 마을,矮树镇
조율자 리카르,调律者里卡尔
조화로운 차원의 기운,协调的次元气息
조화의 이치,协调之理
졸린눈의 로턴드,困倦之眼罗坦德
좀비인형,跳跳人偶
종말의 예고,末日的预告
종언을 고하는 서약,预告末日的誓约
죄악의 지배 : 절규가 매달리는 공포,罪恶支配 : 哀鸣之恐怖
죄악의 지배 : 절망을 뒤덮는 공포,罪恶支配 : 绝望之恐怖
죄악의 지배 : 태초가 선사하는 공포,罪恶支配 : 原初之恐怖
주간,每周
주베닐,朱维尼尔
주캐,主号，大号
주화,硬币
죽음의 숲,死亡之森
죽음의 여신전,死亡女神殿
줄라이,茱莱亚
중독,中毒
"중독 지속 시간 증가/감소, 중독 데미지 증가/감소 옵션의 영향을 받습니다.",该属性受中毒持续时间增加/减少、 中毒伤害增加/减少属性的影响。
중천의 검은 구멍,重泉黑洞
즉각처분,即刻执罚
증폭,增幅
증표 교환,奖章兑换
지나간 과오,过往的错失
지나간 시간의 기억,命魂之忆
지면 파괴자,地面破坏者
지면 폭류,地面洪流
지배자의 위엄,至高者的威势
지식의 보호자 헤이즐,司书人海泽尔
지식의 향연,知识的盛宴
지여급,大地级
지정된 데미지를 10초 동안 1초마다 감전 피해로 나누어 적용되는 상태 이상입니다.,以1秒为间隔， 在10秒内造成一定量感电伤害的属性。
지정된 데미지를 3초 동안 0.5초마다 출혈 피해로 나누어 적용되는 상태 이상입니다.,以0.5秒为间隔， 在3秒内造成一定量出血伤害的属性。
지정된 데미지를 5초 동안 0.5초마다 중독 피해로 나누어 적용되는 상태 이상입니다.,以0.5秒为间隔， 在5秒内造成一定量中毒伤害的属性。
지정된 데미지를 5초 동안 0.5초마다 화상 피해로 나누어 적용되는 상태 이상입니다.,以0.5秒为间隔， 在5秒内造成一定量灼伤伤害的属性。
지정된 데미지의 20%의 감전 피해는 1초마다 나누어 적용됩니다.,其中， 感电伤害总量的20%， 以1秒为间隔持续施加于感电对象。
"지정된 데미지의 80%는 감전 지속시간 이내에 공격 시 반응하며, 공격 히트 당 감전 피해가 나누어 다음 감전 피해에 합산되어 적용됩니다. (반응하는 최대 공격 히트 수는 감전 지속시간 1초당 1회로 적용됩니다.)",剩余感电伤害总量的80%， 在感电持续时间内， 于每次攻击中对感电对象造成附加伤害。 (可附加感电伤害的攻击次数上限为每1秒感电持续1次)
지하 예배당,地下礼拜堂
지하수로 바스티온,地下水道巴斯提恩
지휘관의 명주 상의,指挥官的丝绸上衣
진각 컷신,觉醒插图
진룡 : 무거운 철의 투지,真龙 : 沉重的铁之志
진룡 : 압도하는 힘의 원천,真龙 : 强压的力之源
진룡 : 잔혹한 용의 발톱,真龙 : 残酷的龙之爪
질투의 블레이즈리아,嫉妒之布雷兹里亚
질풍노도의 카오스,疾风骤雨卡奥斯
쩔,金团
"쩔파티, 쩔",金团
차원,次元
착요,捉妖
찬란한 별의 운명,耀星之命运
찰나를 스치는 흐름,如流岁月
처단,索敌刺
처치,消灭
천계 연합군 : 꺾이지 않는 의지,天界联合军 : 意志不灭
천계 연합군 : 모든 이를 위한 기도,天界联合军 : 祈福苍生
천계 연합군 : 밝게 빛나는 희망,天界联合军 : 希望曙光
천둥 가속,天雷加速
천둥 방출,释放天雷
천상의 보호,天堂的守护
천선낭랑,御龙仙女
천칭,天平
천해천,千海天
철의 무덤,钢铁墓地
청연,晴烟
청연의 방패,晴烟之盾
청해,清海
체이싱클러,索敌集束弹
초기화,初始化
초록의 둥지,青绿之巢
초리,木族
초월적인 존재,超越者
초진공탄 : 첼리,超真空弹 : 切利
촉촉한 허그미,温柔的哈格米
촌장 버너스,村长博纳斯
총 10000의 데미지를 10초 동안 감전 피해로 나누어 적용되는 옵션의 경우,若感电伤害总量为10000点， 总持续时间为10秒。
총 10000의 화상 데미지가 3초 지속된 시점에서 빙결 상태 이상이 적용되는 경우,若灼伤伤害总量为10000点， 灼伤状态持续3秒时被施加冰冻状态
총사령관의 결단,总司令官的决断
총사령관의 독도법 나침반,总司令官的指向罗盘
총사령관의 비장의 한발,总司令官的壮烈一步
총사령관의 섬멸 작전,总司令官的制敌法
총사령관의 의무,总司令官的义务
총사령관의 전술 지도,总司令官的布阵图
총사령관의 전우가 남긴 유품,总司令官的战友遗物
총사령관의 제복 상의,总司令官的制服上衣
총사령관의 제복 하의,总司令官的制服裤子
총사령관의 지휘,总司令官的指挥
총사령관의 초심,总司令官的初心
최강토끼,最强兔子
추앙하는 아쿠아리스,敬仰之阿库阿利斯
추억의 속삭임,回忆的低语
축,祝福
축복의 분수,祝福之泉
축연,祝宴
출혈,出血
출혈 데미지는 중첩 수가 1 증가할 때마다 적에게 적용되는 다음 중첩의 출혈 데미지가 1%씩 증가하며 최대 10%까지 증가합니다.,出血伤害叠加层数每增加1层时， 下一次叠加的出血伤害增加1%， 最多可增加10%。
"출혈 지속 시간 증가/감소, 출혈 데미지 증가/감소 옵션의 영향을 받습니다.",该属性受出血持续时间增加/减少、 出血伤害增加/减少属性的影响。
치므릿골,寒溪谷
칠금산,七金山
침묵의 예배당,沉默的礼堂
침전한 보랏빛 요기,沉淀的幽紫妖气
카메린,卡梅林
카잔 증후군,卡赞综合征
카트리지,燃料罐
카펠라의 성흔 : G-13EV 열압력 반응류탄,光芒圣痕 : G-13热压力反应榴弹
칼날,锋刃
칼이 든 자리,切割之地
캐니언힐 광부,柯涅恩搬砖
캐릭터 성능,职业强度
캐스팅,读条
캐스팅 시간,读条时间
캘린더,活动日历
캠프파이어,营火
커럽션,隐行之噬
커스텀,定制
커팅 섀도우,切割之影
컨퓨징 무브,迷惑之舞
컬쳐 쇼크,音波冲击
컴퍼니 도흐,展翼之鹰
코드네임 게이볼그,代号 : 盖波加
코린,柯林
코스튬,变装道具
코어 마스터의 실험실,源能专家实验室
코어 에너지,核能
코인,复活币
콘텐츠,内容
콜트 No3. 데린저,柯尔特3号 - 大口径左轮
쿠노이치의 성지,忍者圣地
쿠룬산의 수련장,月轮山修炼场
퀴디치,方块
퀵 무브,高速机动
큐브 사장님,晶块达人
큐어 달인,净化达人
크라체,克拉切
크러셔,粉碎机
크로스슈터,强攻弩
크로스슈터 개량,强攻弩改良
크로스슈터 사용 가능,强攻弩掌握
크루세이더,光明骑士
크루얼 슬러터,凶兽噬咬
크리쳐,宠物
크리핑,赤影步
큰 어른 루톤,大长老卢坦
클라크,克拉克
클레르,克莱尔
클로린드의 거처,克罗林德的住所
클리멧,克里梅特
클리어,通关
키보디스트 뮤아,键盘手穆雅
키츠카 가문의 공방,基希卡家族工坊
타락의 기운이 깃든 수정,蕴含堕落气息的水晶
타오르는 불꽃의 성단,业火之星团
타칼,塔卡尔
탈리스만,护石
태산의 심장,泰山之心
태초의 공포 모로스(moros_fear the Fear of the Beginning),太初之惧·摩罗斯
태초의 대지,太初之大地
태초의 물결,太初之水流
태초의 불꽃,太初之火花
태초의 불화,太初之失衡
태초의 새싹,太初之生命
태초의 섬광,太初之闪光
태초의 세리아 (Dawning Seria),太初之赛丽亚
태초의 지혜,太初的智慧
택티컬 무브먼트,战术移动
탭,页签
터져나오는 악몽,爆发的噩梦
테라 유적지,泰拉遗迹
텐센트,TC
템버,坦博
토네르,托内尔
토먼트,绯红之狱
톨톨,托托
투영된 어둑섬,幻影幽暗岛
투한당,彻寒堂
트래블러,旅人
트렌드세터 (Trend-setter),时律之音(Trend-setter)
트리플악셀,三重加速
특별 실험실,特别实验室
특이체질,特殊体质
"파괴된 죽은 자의 성, 파죽성",毁坏的寂静城
파워 이펙터,效果器(力)
파워 포르테,音力增强
파인,法茵
파핑파핑 스펙트럼,震感频谱
팔라딘,帕拉丁
팔케,帕伊卡
팔케 : 블레이드 페더,帕伊卡 : 刃羽
팔케 : 퀵 페킹,帕伊卡 : 奇袭
패키지,礼包
패턴,机制
팬 서비스,独家演奏
퍼펙트 오프닝,完美开场
펄시,泊尔希
페이탈 피어싱,毁灭贯穿
페이트 웨이,命运通途
페인 브링어,苦痛送行
페일베일,阿飘
펠 로스 제국의 영광,佩鲁斯帝国的荣光
펠로마,佩洛玛
펼쳐지는 예언,舒卷的预言
"평론가, 록샤르",评论家洛克夏勒
평화로운 과거,和平的往昔
폐쇄된 고대유적,封闭的古代遗迹
폐허위의 화원,废墟之花园
포스트 아포칼립스 세계,后末日世界
포식 : 사그라진 고동,猎食 : 消弭脉动
포식 : 자비없는 습격,猎食 : 残酷袭击
포식 : 조여오는 올가미,猎食 : 禁锢枷锁
포식 : 추적하는 사냥꾼,猎食 : 追袭猎手
포식 : 헤집어진 상처,猎食 : 破碎伤痕
포식 융합 방어구,猎食融合防具
포이즌데몬,毒魔
포지 코어 펜던트,锻造核心项链
포화,炮花
폭룡왕의 겁화,爆龙王的业火
폭룡왕의 겁화게이지,爆龙王的劫火条
폭룡왕의 단조,爆龙王的冶炼台
폭룡왕의 인장,爆龙王印章
폭룡왕의 정전,爆龙王宫殿
폭주,暴走
폭주하는 안개의 브림,暴走的迷雾之布里穆
폭축집중,聚雷爆破
폭풍 화살,暴风箭
폭풍의 시선,风暴视线
폭풍의 역린,风暴逆鳞
폭풍이 부른 성,风暴幽城
폴링 데스렌더,魔剑之坠
폼 체인지 - 베아라,形态切换 - 贝亚罗
폼 체인지 - 야신,形态切换 - 亚辛
푸른 달의 운명,蓝月之命运
푸른 물 계곡,幽碧溪谷
푸른 진리의 탐구자,真理探索者
풀 스윙,全力挥击
풍권류 도장,风拳流道场
풍요로운 가을의 축복,金秋的祝福
풍요의 분수,富饶之泉
풍운과 안개를 걷는 빛,穿云破雾之光
풍작의 기원,丰收许愿
풍획의 기원,渔获许愿
퓨딜,纯输出
퓨리파잉,神光连击
프렌지,狂暴之力
프로젝트 Pandora 테스트장,潘多拉项目测试场
프리미티브 프레센시아,原初·普希娅
프리스트,光职者
플래티,普拉蒂
플레어,光爆箭
플레어 데토네이터,耀光信号弹
플레이 포인트,刷图点数
플레인,位面
플레인 데몬,位面 : 恶魔世界
플레인 드래고니아,位面 : 龙之国度
플레인 엔젤리카,位面 : 天使之城
플레인 피스,位面 : 美丽世界
플레임 릴리,火百合
플레임 스타터,引火器
플렉서블 아머리,机动装备仓
플루크하펜,普鲁克悬空港
피 흘리는 철광,猩红铁矿
피할 수 없는 일격,必中一击
핀포인트 쓰리,三重箭刃
핏빛으로 물든 신념 세트,赤诚信念 套装
하늘 못,天池
하늘 정원,天空庭院
하늘 지기,守天者
하모니,和茉霓
하반기,H2
하얀 사슴 호수,白鹿湖
하위권 직업,下水道
하이라이트,高亮
하트,哈特
하트냥,爱心喵
하트냥의 큐피드 퍼퓸,哈特喵的丘比特香水
학살자의 공포,无形之惧
학자 리키,学者瑞琦
한기의 게르다,寒冰之歌耶达
한방,一击搞定
할트산 정상,哈尔特山顶
합법 심의,合规
핫 데뷔,闪亮首秀
항아리에갇힌가이즈,壶中的卡伊兹
해방,因果毁灭
해상열차,海上列车
해피한 기분,幸福时光
핵 앤 펀치,狡黠回击
행운의 기원,幸运许愿
행운의금동구리,幸运金独角仙
木 :,风 :
헤드라이너 (Headliner),灵韵乐姬(Headliner)
헤드샷,溃灭射击
헤이즈 스톰,流雾疾风
헬 파이어,地狱之火
헬벤터,暗狱魔神
헬카이트,神焰守卫者
혈독초,赤毒草
혈십자,力量唤醒
혈옥 깊은 곳,天帷禁地深处
혈화난무,魔刃狂舞
혜상공국,惠商公局
혜성만리,花舞千魂
혜택,福利
호버케이브,飞行器
호크 아이,猎鹰之瞳
혼돈의 카오스,混沌魔王卡欧斯
혼돈이 담긴 소용돌이,混沌的漩涡
혼백당,魂魄堂
홀드업,挑空
홍예석,虹霓石
화룡 : 끓어오르는 용의 숨결,火龙 : 沸腾的龙之息
화룡 : 타오르는 불의 분노,火龙 : 燃烧的火之怒
화룡 : 폭발하는 힘의 근원,火龙 : 爆炸的力之源
화룡의 기운,火龙之息
화룡의 분노 버프,火龙之怒Buff
화상,灼伤
"화상 데미지가 빙결 상태 이상으로 인해 해제될 경우, 적에게 적용되어 있던 남은 화상 데미지가 5% 증가하여 일괄 적용됩니다.",当灼伤状态被冰冻状态解除时， 剩余灼伤伤害增加5%后一次性施加到受灼伤对象身上。
"화상 지속 시간 증가/감소, 화상 데미지 증가/감소 옵션의 영향을 받습니다.",该属性受灼伤持续时间增加/减少、 灼伤伤害增加/减少属性的影响。
화상에 걸린 대상 주변 150px 내의 몬스터들에게 원본 데미지 대비 10%의 데미지가 적용됩니다.,灼伤对象150px范围内的敌人， 会受到原伤害10%的伤害。
화이트 스폿,圣洁雪域
화접선,花蝶扇
화형,火之净化
확정 드랍,必定掉落
환란야행,祸乱夜行
환요오괴,患妖五怪
활기찬 여름의 축복,盛夏的祝福
황도군 사격장,皇都军射击场
황룡진,黄龙阵
황실 넨 시연장,皇家念气试炼场
회복수,恢复水
회피의 신,回避之神
효율적인 에너지 소모,高效能量消耗
후킹,获客
휘몰아치는 폭풍 강화,强化 : 风暴席卷
